COUNTRY NAME,WHO REGION,ISO CODE,ALL LTBI,POPULATION,01-05 MIGRANT,06-10 MIGRANT,11-15 MIGRANT,16-21 MIGRANT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,LATITUDE,LONGITUDE
Botswana,AFR,BWA,"778,000",2260376,65,125,405,450,250600,229000,221300,235800,262200,251600,236800,247200,252200,280700,248700,257900,259000,260400,271850,296350,286480,321040,341180,184370,-22.3285,24.68487
Burundi,AFR,BDI,"2,140,000",10494913,"1,730","2,200","2,530","4,930",,,,,,,,,,,,,,,,,,,,,-3.37306,29.91889
Cameroon,AFR,CMR,"4,650,000",22299585,"1,165","4,870","9,695","11,790",,,,,,,,,,,,,,,,,,,,,7.369722,12.35472
Ethiopia,AFR,ETH,"23,400,000",99746766,"5,280","6,460","7,700","9,385",,,,,,,,,,,,,,,,,,,,,9.145,40.48967
Gambia,AFR,GMB,"229,000",2189019,80,70,165,240,,,,,,,,,,,,,,,,,,,,,13.44318,-15.3101
Lesotho,AFR,LSO,"712,000",2095242,25,20,30,45,,,,,,,,,,,,,,,,,,,,,-29.61,28.23361
Tanzania,AFR,TZA,"14,800,000",50814552,"1,550","1,230","1,245","1,725",,,,,,,,,,,,,,,,,,,,,-6.36903,34.88882
Argentina,AMR,ARG,"4,470,000",42824054,4.11E+03,"2,110","1,095","1,495",,,,,,,,,,,,,,,,,,,,,-38.4161,-63.6167
Brazil,AMR,BRA,"26,900,000",2.03E+08,"3,170","8,225","7,865","19,895",,,,,,,,,,,,,,,,,,,,,-14.235,-51.9253
India,SEAR,IND,"354,000,000",1.31E+09,"117,145","119,770","143,965","246,995",,,,,,,,,,,,,,,,,,,,,20.59368,78.96288
Indonesia,SEAR,IDN,"122,000,000",2.56E+08,"2,390","2,410","1,765","2,355",,,,,,,,,,,,,,,,,,,,,-0.78928,113.9213
Thailand,SEAR,THA,"23,100,000",69960943,"1,625","3,935","2,115","2,595",,,,,,,,,,,,,,,,,,,,,15.87003,100.9925
Algeria,AFR,DZA,"6,260,000",38760168,1.39E+04,"18,505","16,830","15,745",,,,,,,,,,,,,,,,,,,,,28.03389,1.659626
Afghanistan,EMR,AFG,"7,340,000",32716210,"13,550","8,735","8,605","12,735",,,,,,,,,,,,,,,,,,,,,33.93911,67.70995
Bahrain,EMR,BHR,"73,800",1311134,285,420,520,430,,,,,,,,,,,,,,,,,,,,,25.93041,50.63777
Kuwait,EMR,KWT,"165,000",3761584,"2,835","2,095","2,825","2,785",,,,,,,,,,,,,,,,,,,,,29.31166,47.48177
Libya,EMR,LBY,"648,000",6097764,955,"1,520","1,500","2,745",,,,,,,,,,,,,,,,,,,,,26.3351,17.22833
Pakistan,EMR,PAK,"54,600,000",2.08E+08,"53,680","35,355","40,135","36,255",,,,,,,,,,,,,,,,,,,,,30.37532,69.34512
Syria,EMR,SYR,"1,240,000",20072232,"3,990","3,765","13,345","63,130",,,,,,,,,,,,,,,,,,,,,34.80208,38.99682
China,WPR,CHN,"365,000,000",1.39E+09,"145,195","131,680","117,895","121,630",,,,,,,,,,,,,,,,,,,,,35.86166,104.1954
Malaysia,WPR,MYS,"2,720,000",30606459,"2,230","2,745","1,695","1,860",,,,,,,,,,,,,,,,,,,,,4.210484,101.9758
South Korea,WPR,KOR,"20,400,000",50558043,"24,310","22,255","19,880","20,985",,,,,,,,,,,,,,,,,,,,,35.90776,127.7669
Philippines,WPR,PHL,"39,800,000",1.01E+08,"63,835","122,640","180,795","151,490",,,,,,,,,,,,,,,,,,,,,12.87972,121.774
Angola,AFR,AGO,"6,080,000",27128337,910,405,215,365,,,,,,,,,,,,,,,,,,,,,-11.2027,17.87389
Albania,EUR,ALB,"127,000",2884102,"5,260","2,745","2,495","3,010",,,,,,,,,,,,,,,,,,,,,41.15333,20.16833
United Arab Emirates,EMR,ARE,"478,000",8835951,"4,220","5,230","6,300","8,410",,,,,,,,,,,,,,,,,,,,,23.42408,53.84782
Armenia,EUR,ARM,"177,000",2889930,735,"1,005","1,155",965,,,,,,,,,,,,,,,,,,,,,40.0691,45.03819
Australia,WPR,AUS,"255,000",23469579,1780,2560,4965,6530,,,,,,,,,,,,,,,,,,,,,-25.2744,133.7751
Austria,EUR,AUT,"691,000",8546066,385,315,410,375,,,,,,,,,,,,,,,,,,,,,47.51623,14.55007
Azerbaijan,EUR,AZE,"5,950,000",9741880,"1,115","1,065",660,"1,240",,,,,,,,,,,,,,,,,,,,,40.14311,47.57693
Belgium,EUR,BEL,"547,000",11176723,"1,330","1,440","1,370","1,805",,,,,,,,,,,,,,,,,,,,,50.50389,4.469936
Benin,AFR,BEN,"1,410,000",10614844,230,760,"1,370","1,235",,,,,,,,,,,,,,,,,,,,,9.30769,2.315834
Burkina Faso,AFR,BFA,"1,030,000",18169842,245,570,990,995,,,,,,,,,,,,,,,,,,,,,12.23833,-1.56159
Bangladesh,SEAR,BGD,"44,100,000",1.56E+08,"11,845","13,450","12,185","13,185",,,,,,,,,,,,,,,,,,,,,23.68499,90.35633
Bulgaria,EUR,BGR,"977,000",7372141,"5,950","3,925","1,745","1,025",,,,,,,,,,,,,,,,,,,,,42.73388,25.48583
Bosnia and Herzegonia,EUR,BIH,"847,000",3571068,"1,855","1,000",875,745,,,,,,,,,,,,,,,,,,,,,43.91589,17.67908
Belarus,EUR,BLR,"920,000",9693739,"2,555","2,285","1,450","1,395",,,,,,,,,,,,,,,,,,,,,53.70981,27.95339
Bolivia,AMR,BOL,"2,560,000",10916987,560,640,445,600,,,,,,,,,,,,,,,,,,,,,-16.2902,-63.5887
Bhutan,SEAR,BTN,"384,000",736357,35,"1,185","2,575",150,,,,,,,,,,,,,,,,,,,,,27.51416,90.4336
Central African Republic,AFR,CAF,"2,120,000",4798734,80,150,575,815,,,,,,,,,,,,,,,,,,,,,6.611111,20.93944
Canada,AMR,CAN,"612,000",35404608,0,0,0,0,,,,,,,,,,,,,,,,,,,,,56.13037,-106.347
Switzerland,EUR,CHE,"496,000",8187791,"1,075","1,040","1,105","1,015",,,,,,,,,,,,,,,,,,,,,46.81819,8.227512
Chile,AMR,CHL,"1,650,000",17687108,"1,835","1,680","1,320","1,830",,,,,,,,,,,,,,,,,,,,,-35.6751,-71.543
Ivory Coast,AFR,CIV,"6,260,000",22995555,940,"3,235","5,705","7,915",,,,,,,,,,,,,,,,,,,,,7.54,-5.5471
Democratic Republic of the Congo,AFR,COD,"20,900,000",76035588,"4,860","5,740","7,140","8,915",,,,,,,,,,,,,,,,,,,,,-4.0383,21.7587
Republic of the Congo,AFR,COG,"964,000",4944861,590,585,675,765,,,,,,,,,,,,,,,,,,,,,-0.228,15.8277
Colombia,AMR,COL,"4,170,000",46677947,"17,860","23,720","15,645","11,455",,,,,,,,,,,,,,,,,,,,,4.570868,-74.2973
Comoros,AFR,COM,"48,800",714612,50,55,45,40,,,,,,,,,,,,,,,,,,,,,-11.875,43.87222
Cape Verde,AFR,CPV,"130,000",546076,0,10,20,15,,,,,,,,,,,,,,,,,,,,,16.00208,-24.0132
Costa Rica,AMR,CRI,"393,000",4844288,550,"1,070",650,685,,,,,,,,,,,,,,,,,,,,,9.748917,-83.7534
Cuba,AMR,CUB,"1,320,000",11332026,"3,140","4,535","4,650","3,310",,,,,,,,,,,,,,,,,,,,,21.52176,-77.7812
Cyprus,EUR,CYP,"8,980",1176995,140,90,165,190,,,,,,,,,,,,,,,,,,,,,35.12641,33.42986
Czech Republic,EUR,CZE,"1,420,000",10517182,900,610,965,"1,310",,,,,,,,,,,,,,,,,,,,,49.81749,15.47296
Germany,EUR,DEU,"8,440,000",81858825,"5,825","9,450","5,665","5,370",,,,,,,,,,,,,,,,,,,,,51.16569,10.45153
Djibouti,EMR,DJI,"352,000",989087,275,290,840,"1,355",,,,,,,,,,,,,,,,,,,,,11.82514,42.59028
Denmark,EUR,DNK,"112,000",5650653,190,265,230,455,,,,,,,,,,,,,,,,,,,,,56.26392,9.501785
Dominican Republic,AMR,DOM,"2,460,000",10282115,"1,040","1,780","2,525","3,460",,,,,,,,,,,,,,,,,,,,,18.73569,-70.1627
Ecuador,AMR,ECU,"3,120,000",15957994,"1,980","1,945","1,510","1,285",,,,,,,,,,,,,,,,,,,,,-1.83124,-78.1834
Egypt,EMR,EGY,"6,900,000",95592324,"7,030","10,725","15,290","12,120",,,,,,,,,,,,,,,,,,,,,26.82055,30.8025
Eritrea,AFR,ERI,"816,000",3323425,"1,320","3,085","5,965","16,330",,,,,,,,,,,,,,,,,,,,,15.17938,39.78233
Spain,EUR,ESP,"2,880,000",46464551,405,750,"1,440","2,340",,,,,,,,,,,,,,,,,,,,,40.46367,-3.74922
Estonia,EUR,EST,"141,000",1314526,265,155,150,165,,,,,,,,,,,,,,,,,,,,,58.59527,25.01361
Finland,EUR,FIN,"399,000",5461440,270,265,280,420,,,,,,,,,,,,,,,,,,,,,61.92411,25.74815
Fiji,WPR,FJI,"119,000",915560,2315,1440,1150,690,,,,,,,,,,,,,,,,,,,,,-16.5782,179.4144
France,EUR,FRA,"4,200,000",63588491,"12,000","14,550","18,675","27,175",,,,,,,,,,,,,,,,,,,,,46.22764,2.213749
Gabon,AFR,GAB,"542,000",1966855,1.80E+02,360,340,355,,,,,,,,,,,,,,,,,,,,,-0.80369,11.60944
United Kingdom,EUR,GBR,"1,150,000",64773504,"17,055","27,985","20,260","22,755",,,,,,,,,,,,,,,,,,,,,55.37805,-3.43597
Georgia,EUR,GEO,"2,220,000",3774235,640,570,575,605,,,,,,,,,,,,,,,,,,,,,42.31541,43.35689
Ghana,AFR,GHA,"7,400,000",28196358,"3,205","3,200","2,095","3,680",,,,,,,,,,,,,,,,,,,,,7.946527,-1.02319
Guinea,AFR,GIN,"2,560,000",11333365,840,"1,490","1,460","1,665",,,,,,,,,,,,,,,,,,,,,9.945587,-9.69665
Guinea-Bissau,AFR,GNB,"472,000",1743309,20,40,0,15,,,,,,,,,,,,,,,,,,,,,11.80375,-15.1804
Equatorial Guinea,AFR,GNQ,"67,700",1295183,10,15,10,0,,,,,,,,,,,,,,,,,,,,,1.650801,10.2679
Greece,EUR,GRC,"308,000",10862969,610,635,"1,665","1,690",,,,,,,,,,,,,,,,,,,,,39.07421,21.82431
Guatemala,AMR,GTM,"1,710,000",15713740,"1,055","1,140","1,550","1,115",,,,,,,,,,,,,,,,,,,,,15.78347,-90.2308
Guyana,AMR,GUY,"120,000",751115,"6,140","4,925","3,260","1,890",,,,,,,,,,,,,,,,,,,,,4.860416,-58.9302
Hong Kong,WPR,HKG,"1,680,000",7352183,"5,045","4,975","5,375","6,495",,,,,,,,,,,,,,,,,,,,,22.3193,114.1694
Honduras,AMR,HND,"1,370,000",9127846,645,895,"1,955","1,680",,,,,,,,,,,,,,,,,,,,,15.2,-86.2419
Croatia,EUR,HRV,"1,090,000",4283972,"1,090",445,945,"1,820",,,,,,,,,,,,,,,,,,,,,45.1,15.2
Haiti,AMR,HTI,"2,640,000",10412740,"8,480","12,185","22,145","10,555",,,,,,,,,,,,,,,,,,,,,18.97119,-72.2852
Hungary,EUR,HUN,"1,860,000",9867901,"2,080","1,455","1,950","2,545",,,,,,,,,,,,,,,,,,,,,47.16249,19.5033
Ireland,EUR,IRL,"219,000",4622167,580,"1,440","3,915","6,355",,,,,,,,,,,,,,,,,,,,,53.41291,-8.24389
Iran,EMR,IRN,"3,860,000",79961672,"25,315","27,030","44,740","25,650",,,,,,,,,,,,,,,,,,,,,32.42791,53.68805
Iraq,EMR,IRQ,"1,480,000",36746488,"8,100","16,625","20,235","17,710",,,,,,,,,,,,,,,,,,,,,33.22319,43.67929
Israel,EUR,ISR,"117,000",7863846,"3,300","4,185","4,360","4,850",,,,,,,,,,,,,,,,,,,,,31.04605,34.85161
Italy,EUR,ITA,"1,330,000",60322791,"1,290","1,695","2,675","4,240",,,,,,,,,,,,,,,,,,,,,41.87194,12.56738
Jamaica,AMR,JAM,"25,300",2784543,8.65E+03,"9,385","10,995","15,155",,,,,,,,,,,,,,,,,,,,,18.10958,-77.2975
Jordan,EMR,JOR,"110,000",8658026,"2,210","3,025","3,665","4,635",,,,,,,,,,,,,,,,,,,,,30.58516,36.23841
Japan,WPR,JPN,"21,200,000",1.27E+08,"3,865","4,995","4,540","4,445",,,,,,,,,,,,,,,,,,,,,36.20482,138.2529
Kazakhstan,EUR,KAZ,"2,030,000",17592298,"3,165","3,290","2,005","2,130",,,,,,,,,,,,,,,,,,,,,48.01957,66.92368
Kenya,AFR,KEN,"5,860,000",45831863,"3,440","3,025","3,445","3,475",,,,,,,,,,,,,,,,,,,,,-0.02356,37.90619
Kyrgyzstan,EUR,KGZ,"1,210,000",5814417,820,"1,050",905,765,,,,,,,,,,,,,,,,,,,,,41.20438,74.7661
Cambodia,WPR,KHM,"8,680,000",15210817,"1,415","1,650","1,115","1,060",,,,,,,,,,,,,,,,,,,,,12.56568,104.991
Laos,WPR,LAO,"2,980,000",6691454,235,310,150,115,,,,,,,,,,,,,,,,,,,,,19.85627,102.4955
Lebanon,EMR,LBN,"228,000",6274342,"8,590","10,735","8,675","9,980",,,,,,,,,,,,,,,,,,,,,33.85472,35.86229
Liberia,AFR,LBR,"1,020,000",4519398,820,550,435,330,,,,,,,,,,,,,,,,,,,,,6.428055,-9.4295
Sri Lanka,SEAR,LKA,"2,300,000",21239457,"21,150","19,420","11,795","8,480",,,,,,,,,,,,,,,,,,,,,7.873054,80.7718
Lithuania,EUR,LTU,"413,000",2994927,860,490,560,525,,,,,,,,,,,,,,,,,,,,,55.16944,23.88128
Luxembourg,EUR,LUX,"13,400",556069,25,50,50,50,,,,,,,,,,,,,,,,,,,,,49.81527,6.129583
Latvia,EUR,LVA,"734,000",2011039,650,330,685,420,,,,,,,,,,,,,,,,,,,,,56.87964,24.60319
Macao,WPR,MAC,"91,400",604167,140,140,195,185,,,,,,,,,,,,,,,,,,,,,22.1987,113.5439
Morocco,EMR,MAR,"5,790,000",34248603,"14,020","19,550","14,280","12,835",,,,,,,,,,,,,,,,,,,,,31.7917,-7.09262
Moldova,EUR,MDA,"676,000",3338336,"2,875","6,115","5,570","2,960",,,,,,,,,,,,,,,,,,,,,47.41163,28.36989
Madagascar,AFR,MDG,"8,220,000",24215976,415,935,745,665,,,,,,,,,,,,,,,,,,,,,-18.7669,46.86911
Mexico,AMR,MEX,"16,700,000",1.19E+08,"11,475","16,370","19,750","17,145",,,,,,,,,,,,,,,,,,,,,23.6345,-102.553
North Macedonia,EUR,MKD,"216,000",2105291,"1,870",950,690,415,,,,,,,,,,,,,,,,,,,,,21.7453,41.6086
Mali,AFR,MLI,"1,400,000",17551814,275,590,565,"1,020",,,,,,,,,,,,,,,,,,,,,17.57069,-3.99617
Myanmar,SEAR,MMR,"24,800,000",51072436,8.10E+02,"3,455","1,310",620,,,,,,,,,,,,,,,,,,,,,21.9162,95.956
Montenegro,EUR,MNE,"175,000",634294,145,130,85,70,,,,,,,,,,,,,,,,,,,,,42.70868,19.37439
Mongolia,WPR,MNG,"1,170,000",2902823,170,715,425,445,,,,,,,,,,,,,,,,,,,,,46.8625,103.8467
Mozambique,AFR,MOZ,"9,260,000",26038704,50,80,60,130,,,,,,,,,,,,,,,,,,,,,-18.6657,35.52956
Mauritania,AFR,MRT,"1,210,000",3843174,140,405,350,290,,,,,,,,,,,,,,,,,,,,,21.00789,-10.9408
Mauritius,AFR,MUS,"74,900",1292113,"2,155","3,795","3,850","2,540",,,,,,,,,,,,,,,,,,,,,-20.3484,57.55215
Malawi,AFR,MWI,"3,170,000",16477966,40,70,135,235,,,,,,,,,,,,,,,,,,,,,-13.2543,34.30153
Namibia,AFR,NAM,"862,000",2243001,120,115,340,605,,,,,,,,,,,,,,,,,,,,,-22.9576,18.49041
Niger,AFR,NER,"4,710,000",19372014,140,290,350,380,,,,,,,,,,,,,,,,,,,,,17.60779,8.081666
