Afghanistan,185
Albania,10
Algeria,51
Angola,333
Argentina,24
Armenia,30
Australia,6
Austria,5
Azerbaijan,68
Bahrain,13
Bangladesh,221
Belarus,23
Belgium,7
Benin,52
Bhutan,164
Bolivia,108
Bosnia and Herzegovina,14
Botswana,229
Brazil,49
Bulgaria,20
Burkina Faso,44
Burundi,97
Cambodia,320
Cameroon,157
Canada,5
Cape Verde,33
Central African Republic,540
Chad,140
Chile,13
China,52
Colombia,47
Comoros,39
Costa Rica,10
Croatia,6
Cuba,6
Cyprus,5
Czech Republic,4
Democratic Republic of the Congo,317
Denmark,4
Djibouti,240
Dominican Republic,43
Ecuador,45
Egypt,12
El Salvador,50
Equatorial Guinea,275
Eritrea,69
Estonia,11
Eswatini,325
Ethiopia,126
Fiji,66
Finland,3
France,8
Gabon,509
Gambia,145
Georgia,60
Germany,5
Ghana,133
Greece,3
Guatemala,23
Guinea,175
Guinea-Bissau,361
Guyana,60
Haiti,154
Honduras,36
Hong Kong,54
Hungary,7
India,199
Indonesia,385
Iran,14
Iraq,25
Ireland,5
Israel,4
Italy,5
Ivory Coast,123
Jamaica,3
Japan,10
Jordan,5
Kazakhstan,78
Kenya,237
Kuwait,12
Kyrgyzstan,130
Laos,138
Latvia,20
Lebanon,8
Lesotho,661
Liberia,308
Libya,59
Lithuania,16
Luxembourg,4
Macao,58
Madagascar,233
Malawi,125
Malaysia,113
Mali,49
Mauritania,78
Mauritius,8
Mexico,23
Moldova,58
Mongolia,172
Montenegro,14
Morocco,94
Mozambique,551
Myanmar,292
Namibia,306
Nepal,239
Netherlands,5
New Zealand,7
Nicaragua,41
Niger,63
Nigeria,204
North Korea,513
North Macedonia,11
Norway,4
Oman,8
Pakistan,245
Palestine,5
Panama,36
Papua New Guinea,340
Paraguay,47
Peru,86
Philippines,628
Poland,6
Portugal,12
Puerto Rico,2
Qatar,36
Republic of the Congo,369
Romania,41
Russia,47
Rwanda,54
Saudi Arabia,7
Senegal,121
Serbia,10
Sierra Leone,300
Singapore,36
Slovakia,7
Slovenia,4
Solomon Islands,144
Somalia,262
South Africa,513
South Korea,41
South Sudan,182
Spain,8
Sri Lanka,56
Sudan,80
Suriname,21
Sweden,5
Switzerland,5
Syria,18
Tajikistan,64
Tanzania,208
Thailand,155
Togo,58
Trinidad and Tobago,5
Tunisia,29
Turkey,13
Turkmenistan,50
Uganda,181
Ukraine,77
United Arab Emirates,3
United Kingdom,8
United States,3
Uruguay,7
Uzbekistan,67
Venezuela,37
Vietnam,176
Yemen,49
Zambia,303
Zimbabwe,205
