[Header line: delete me to read as csv] [Country-level LTBI estimates from Houben & Dodd 2016, distributed under CC BY 4.0 license https://creativecommons.org/licenses/by/4.0/] [Individual country estimates are more subject to bias and uncertainty and should be used with caution. Brackets show IQR; point estimate is the mean.]
"iso3","All LTBI","1st infection within 2y","Any infection within 2y","INH-R infection within 2y","LTBI in <15"
"BWA","   778,000 [   733,000 -    842,000]","    26,600 [    22,000 -     33,300]","    29,700 [    24,600 -     37,000]","     2,240 [     1,840 -      2,920]","    58,400 [    53,800 -     64,300]"
"BDI"," 2,140,000 [ 1,810,000 -  2,520,000]","    90,300 [    73,300 -    105,000]","    95,500 [    76,500 -    110,000]","     4,400 [     3,410 -      5,760]","   208,000 [   191,000 -    231,000]"
"CMR"," 4,650,000 [ 4,110,000 -  5,040,000]","   310,000 [   253,000 -    372,000]","   324,000 [   268,000 -    393,000]","    27,000 [    21,200 -     34,300]","   705,000 [   647,000 -    786,000]"
"ETH","23,400,000 [21,500,000 - 25,800,000]","   814,000 [   651,000 -    987,000]","   867,000 [   692,000 -  1,060,000]","    67,700 [    54,700 -     84,500]"," 2,230,000 [ 2,050,000 -  2,370,000]"
"GMB","   229,000 [   192,000 -    257,000]","    12,400 [    10,800 -     14,700]","    12,800 [    11,000 -     15,200]","       715 [       466 -      1,070]","    25,800 [    24,100 -     27,800]"
"LSO","   712,000 [   680,000 -    762,000]","    43,900 [    35,000 -     54,200]","    48,500 [    38,600 -     60,000]","     3,400 [     2,820 -      4,170]","   102,000 [    93,800 -    112,000]"
"TZA","14,800,000 [14,100,000 - 15,700,000]"," 1,140,000 [   919,000 -  1,430,000]"," 1,220,000 [   996,000 -  1,550,000]","    78,900 [    63,100 -    104,000]"," 2,900,000 [ 2,580,000 -  3,180,000]"
"ARG"," 4,470,000 [ 3,740,000 -  5,240,000]","    61,600 [    48,800 -     73,500]","    63,500 [    50,300 -     75,600]","     3,750 [     3,010 -      4,640]","    78,100 [    71,200 -     87,500]"
"BRA","26,900,000 [19,100,000 - 36,700,000]","   518,000 [   417,000 -    633,000]","   533,000 [   430,000 -    650,000]","    32,500 [    26,300 -     40,400]","   632,000 [   580,000 -    690,000]"
"IND","354,000,000 [339,000,000 - 377,000,000]","10,700,000 [ 8,730,000 - 13,400,000]","11,600,000 [ 9,510,000 - 14,500,000]"," 1,200,000 [   979,000 -  1,480,000]","24,800,000 [23,500,000 - 26,300,000]"
